kernel,n_channels,n_qubits,mean,std,variance,min,max,shots_for_1sigma,subject
HS-RBF,32,5,0.38401872540837684,0.19880318258716706,0.039522705406786485,0.023167649637150428,0.8203010606765556,25.30191164060062,9
Bures-RBF,32,5,0.38290224993374367,0.18934870645884905,0.03585293263763938,0.06411090927542805,0.7885947535367093,27.891721162864453,9
HS-overlap,64,6,0.9093895050178186,0.029461146667148323,0.0008679591629432248,0.8063127125881365,0.9658716706888972,1152.127937228093,9
Fidelity,64,6,0.9072232446677458,0.026103869681607075,0.0006814120123543251,0.8246239377594343,0.9580947452399845,1467.5409031093122,9
HS-RBF,64,6,0.36670038990452647,0.12275115069560841,0.015067844997095963,0.04307589266882959,0.6715927270589315,66.36649104053902,9
Bures-RBF,64,6,0.3765481889170493,0.10570283223356336,0.01117308874219684,0.1400707142189285,0.6357922043008658,89.50076590937209,9
HS-overlap,4,2,0.9951253673628961,0.0037126018843939377,1.3783412752005416e-05,0.976030676354742,0.9998308155863562,72550.97253432429,10
Fidelity,4,2,0.9923450388396472,0.0076604496667182515,5.8682489096323776e-05,0.9364965928469204,0.9997960755429899,17040.85861727099,10
HS-RBF,4,2,0.38847210400013427,0.2531524163400845,0.06408614589882349,0.00010597626313623236,0.9610916376290317,15.603996557676568,10
Bures-RBF,4,2,0.3936047261727808,0.27256147181542645,0.0742897559181915,5.068231503707012e-06,0.9622093410764021,13.460806104965648,10
HS-overlap,8,3,0.9935608342062341,0.004602079783922542,2.117913833758855e-05,0.9661519869587245,0.999448966227016,47216.2740551729,10
Fidelity,8,3,0.9884214900263081,0.009399226604304577,8.834546075906695e-05,0.9356081537024822,0.9995514390657275,11319.200685671554,10
HS-RBF,8,3,0.38668497411272884,0.2327121650205931,0.05415495174857175,0.0007925877347780508,0.9285337846804493,18.46553210208286,10
Bures-RBF,8,3,0.3764584474003318,0.2286484558877388,0.05228011637984724,0.0005824294381969287,0.9502384777766203,19.12773094716133,10
HS-overlap,16,4,0.9921881671399675,0.005344791075159136,2.856679163710075e-05,0.9623592854105568,0.9989599389160277,35005.68116656345,10
Fidelity,16,4,0.984038172800773,0.011549784823871125,0.00013339752947772376,0.9285558295986387,0.9985156046139156,7496.39070464938,10
HS-RBF,16,4,0.37592617789844057,0.2184341092705072,0.04771346009279988,0.0009083197471007999,0.8925213973636147,20.958446485647,10
Bures-RBF,16,4,0.3694281994675953,0.20777747010134304,0.043171477081714496,0.003157405969312053,0.8891393674701402,23.1634418740691,10
HS-overlap,32,5,0.9850241673111556,0.010901863093520342,0.00011885061890986093,0.9254396782877632,0.9972967110737506,8413.923370129214,10
Fidelity,32,5,0.9757818610991639,0.015267851612307499,0.00023310729285544067,0.904554186358558,0.9957599039434633,4289.870075494124,10
HS-RBF,32,5,0.375111299352366,0.2023847907318012,0.04095960351955497,0.001230419359834589,0.844827905382915,24.414298823048398,10
Bures-RBF,32,5,0.3634458197887197,0.18004798051826798,0.0324172752887066,0.0077066346331566855,0.8097010222963034,30.847749883173428,10
HS-overlap,64,6,0.9774013429464016,0.014978700955672403,0.00022436148231946138,0.9132420833775152,0.9965798404511297,4457.093034249662,10
Fidelity,64,6,0.9678105694296758,0.015865264042463797,0.0002517066031370947,0.8959009987124286,0.9931489625738045,3972.8794856261247,10
HS-RBF,64,6,0.3655923323473028,0.1916034087095517,0.03671186622911951,0.005996656155261085,0.8424758058294926,27.239149155724732,10
Bures-RBF,64,6,0.3584227137106997,0.1499918881157098,0.022497566500515605,0.02252030526185318,0.7839642494969841,44.44925187695664,10
HS-overlap,4,2,0.9816084228134706,0.022545717033886966,0.0005083093565721009,0.898742533329379,1.0000000000000002,1967.3059074570772,11
Fidelity,4,2,0.9912890850156246,0.010775555695150159,0.000116112600539283,0.9510821547440186,1.0000000000000004,8612.329715771733,11
HS-RBF,4,2,0.4369523809155188,0.3636769424131447,0.13226091844297375,1.9009158394194598e-05,1.0,7.560812458981712,11
Bures-RBF,4,2,0.4370342043411222,0.3629949061941468,0.13176530192289743,2.624267887903365e-05,1.0,7.589251384140195,11
HS-overlap,8,3,0.9748761912463869,0.03132153795015139,0.000981038739562774,0.8116829629105224,0.9999239460842229,1019.3277387248506,11
Fidelity,8,3,0.9890853023893853,0.0137213971954793,0.00018827674099610716,0.9162296947822179,0.9999698871735588,5311.3305165011125,11
