subject,direction,frame,pipeline,group,accuracy,auc,best,n_train,n_test
5,1test->0train,reference,quantum/HS-overlap,quantum,0.5208333333333334,0.5229552469135802,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
5,1test->0train,reference,quantum/Fidelity,quantum,0.5069444444444444,0.5158179012345678,"{""C"": 0.1, ""gamma_mult"": 1.0}",144,144
5,1test->0train,reference,quantum/HS-RBF,quantum,0.5416666666666666,0.5472608024691358,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
5,1test->0train,reference,quantum/Bures-RBF,quantum,0.5486111111111112,0.5489969135802469,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
5,1test->0train,reference,quantum/QRE-RBF,quantum,0.5486111111111112,0.5489969135802469,"{""C"": 0.1, ""gamma_mult"": 4.0}",144,144
6,0train->1test,sensor,classical/TS+LR,classical,0.6666666666666666,0.7471064814814814,"{""clf__C"": 0.1}",144,144
6,0train->1test,sensor,classical/MDM,classical,0.6458333333333334,0.6930941358024691,{},144,144
6,0train->1test,sensor,control/riemann-kernel-SVM,control,0.6736111111111112,0.7330246913580246,"{""C"": 1.0}",144,144
6,0train->1test,sensor,control/logeuclid-kernel-SVM,control,0.6805555555555556,0.744212962962963,"{""C"": 1.0}",144,144
6,0train->1test,sensor,quantum/HS-overlap,quantum,0.5625,0.607445987654321,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
6,0train->1test,sensor,quantum/Fidelity,quantum,0.5277777777777778,0.6116898148148148,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
6,0train->1test,sensor,quantum/HS-RBF,quantum,0.5416666666666666,0.6005015432098766,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
6,0train->1test,sensor,quantum/Bures-RBF,quantum,0.5347222222222222,0.5542052469135802,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
6,0train->1test,sensor,quantum/QRE-RBF,quantum,0.5347222222222222,0.5547839506172839,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
6,1test->0train,sensor,classical/TS+LR,classical,0.6736111111111112,0.7681327160493827,"{""clf__C"": 1.0}",144,144
6,1test->0train,sensor,classical/MDM,classical,0.6805555555555556,0.7513503086419753,{},144,144
6,1test->0train,sensor,control/riemann-kernel-SVM,control,0.7222222222222222,0.7849151234567902,"{""C"": 0.1}",144,144
6,1test->0train,sensor,control/logeuclid-kernel-SVM,control,0.7291666666666666,0.7758487654320988,"{""C"": 0.1}",144,144
6,1test->0train,sensor,quantum/HS-overlap,quantum,0.5625,0.6537422839506173,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
6,1test->0train,sensor,quantum/Fidelity,quantum,0.5347222222222222,0.6105324074074074,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
6,1test->0train,sensor,quantum/HS-RBF,quantum,0.5972222222222222,0.6356095679012345,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
6,1test->0train,sensor,quantum/Bures-RBF,quantum,0.5833333333333334,0.6273148148148147,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
6,1test->0train,sensor,quantum/QRE-RBF,quantum,0.5833333333333334,0.623263888888889,"{""C"": 10.0, ""gamma_mult"": 0.25}",144,144
6,0train->1test,reference,classical/TS+LR,classical,0.6736111111111112,0.7447916666666666,"{""clf__C"": 0.1}",144,144
6,0train->1test,reference,classical/MDM,classical,0.6597222222222222,0.6944444444444445,{},144,144
6,0train->1test,reference,control/riemann-kernel-SVM,control,0.6736111111111112,0.7289737654320987,"{""C"": 1.0}",144,144
6,0train->1test,reference,control/logeuclid-kernel-SVM,control,0.6736111111111112,0.7289737654320987,"{""C"": 1.0}",144,144
6,0train->1test,reference,quantum/HS-overlap,quantum,0.6875,0.7312885802469136,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
6,0train->1test,reference,quantum/Fidelity,quantum,0.6736111111111112,0.7364969135802469,"{""C"": 10.0, ""gamma_mult"": 1.0}",144,144
6,0train->1test,reference,quantum/HS-RBF,quantum,0.7152777777777778,0.7353395061728396,"{""C"": 1.0, ""gamma_mult"": 1.0}",144,144
